"For you, data analysis is...?",Data processing:Which of the following are you involved in?,Basic statistics:Which of the following are you involved in?,Model design (research):Which of the following are you involved in?,Model design (routine computations):Which of the following are you involved in?,Model deployment in production mode:Which of the following are you involved in?,Data visualization:Which of the following are you involved in?,Other ... Write In::Which of the following are you involved in?,Data processing:Which of the following are area(s) of interest to you?,Basic statistics:Which of the following are area(s) of interest to you?,Model design (research):Which of the following are area(s) of interest to you?,Model design (routine computations):Which of the following are area(s) of interest to you?,Model deployment in production mode:Which of the following are area(s) of interest to you?,Data visualization:Which of the following are area(s) of interest to you?,Other ... Write In::Which of the following are area(s) of interest to you?,Do you work with Big Data?,"None:Which..tool(s) do you use for data analysis, if any?","RapidMiner:Which..tool(s) do you use for data analysis, if any?","KNIME:Which..tool(s) do you use for data analysis, if any?","Alteryx:Which..tool(s) do you use for data analysis, if any?","Angoss:Which..tool(s) do you use for data analysis, if any?","Microsoft Azure ML:Which..tool(s) do you use for data analysis, if any?","Dataiku:Which..tool(s) do you use for data analysis, if any?","Domino Data Lab:Which..tool(s) do you use for data analysis, if any?","Alpine Data Chorus:Which..tool(s) do you use for data analysis, if any?","Other ... Write In::Which..tool(s) do you use for data analysis, if any?","None:What deep learning libraries do you use, if any?","TensorFlow:What deep learning libraries do you use, if any?","Theano:What deep learning libraries do you use, if any?","Torch:What deep learning libraries do you use, if any?","Keras:What deep learning libraries do you use, if any?","Other ... Write In::What deep learning libraries do you use, if any?","None:What programming language(s) do you regularly use for data analysis, if any?","R:What programming language(s) do you regularly use for data analysis, if any?","Python:What programming language(s) do you regularly use for data analysis, if any?","Java:What programming language(s) do you regularly use for data analysis, if any?","Scala:What programming language(s) do you regularly use for data analysis, if any?","Lua:What programming language(s) do you regularly use for data analysis, if any?","Julia:What programming language(s) do you regularly use for data analysis, if any?","Matlab/Octave:What programming language(s) do you regularly use for data analysis, if any?","Other ... Write In::What programming language(s) do you regularly use for data analysis, if any?","None:Which of the following tool(s) do you use, if any?..","Apache Spark:Which of the following tool(s) do you use, if any?..","Apache Samza:Which of the following tool(s) do you use, if any?..","Apache Flink:Which of the following tool(s) do you use, if any?..","Apache Hadoop/MapReduce:Which of the following tool(s) do you use, if any?..","Apache Hive:Which of the following tool(s) do you use, if any?..","Apache Pig:Which of the following tool(s) do you use, if any?..","Apache Tez:Which of the following tool(s) do you use, if any?..","Apache Beam:Which of the following tool(s) do you use, if any?..","Dask:Which of the following tool(s) do you use, if any?..","Other ... Write In::Which of the following tool(s) do you use, if any?..",What is your main programming language for data analysis?,None:Do you plan to adopt / migrate to other language(s) in the next 12 months?,R:Do you plan to adopt / migrate to other language(s) in the next 12 months?,Python:Do you plan to adopt / migrate to other language(s) in the next 12 months?,Java:Do you plan to adopt / migrate to other language(s) in the next 12 months?,Scala:Do you plan to adopt / migrate to other language(s) in the next 12 months?,Lua:Do you plan to adopt / migrate to other language(s) in the next 12 months?,Julia:Do you plan to adopt / migrate to other language(s) in the next 12 months?,Matlab/Octave:Do you plan to adopt / migrate to other language(s) in the next 12 months?,Kotlin:Do you plan to adopt / migrate to other language(s) in the next 12 months?,Go:Do you plan to adopt / migrate to other language(s) in the next 12 months?,Rust:Do you plan to adopt / migrate to other language(s) in the next 12 months?,C++:Do you plan to adopt / migrate to other language(s) in the next 12 months?,Other - Write In:Do you plan to adopt / migrate to other language(s) in the next 12 months?,"In your opinion, what programming language will be most used for data analysis in the next 5 years?","None:What data analysis and/or data visualization libraries do you use with Python, if any?","xgboost:What data analysis and/or data visualization libraries do you use with Python, if any?","StatsModels:What data analysis and/or data visualization libraries do you use with Python, if any?","NLTK:What data analysis and/or data visualization libraries do you use with Python, if any?","scikit-learn:What data analysis and/or data visualization libraries do you use with Python, if any?","Plotly:What data analysis and/or data visualization libraries do you use with Python, if any?","Bokeh:What data analysis and/or data visualization libraries do you use with Python, if any?","Matplotlib:What data analysis and/or data visualization libraries do you use with Python, if any?","pandas:What data analysis and/or data visualization libraries do you use with Python, if any?","NumPy:What data analysis and/or data visualization libraries do you use with Python, if any?","SciPy:What data analysis and/or data visualization libraries do you use with Python, if any?","gensim:What data analysis and/or data visualization libraries do you use with Python, if any?","seaborn:What data analysis and/or data visualization libraries do you use with Python, if any?","PySpark:What data analysis and/or data visualization libraries do you use with Python, if any?","Other ... Write In::What data analysis and/or data visualization libraries do you use with Python, if any?","None:What data analysis and/or data visualization libraries do you use with R, if any?","e1071:What data analysis and/or data visualization libraries do you use with R, if any?","rpart:What data analysis and/or data visualization libraries do you use with R, if any?","igraph:What data analysis and/or data visualization libraries do you use with R, if any?","nnet:What data analysis and/or data visualization libraries do you use with R, if any?","randomForest:What data analysis and/or data visualization libraries do you use with R, if any?","caret:What data analysis and/or data visualization libraries do you use with R, if any?","kernlab:What data analysis and/or data visualization libraries do you use with R, if any?","glmnet:What data analysis and/or data visualization libraries do you use with R, if any?","ROCR:What data analysis and/or data visualization libraries do you use with R, if any?","gbm:What data analysis and/or data visualization libraries do you use with R, if any?","party:What data analysis and/or data visualization libraries do you use with R, if any?","arules:What data analysis and/or data visualization libraries do you use with R, if any?","XGBoost:What data analysis and/or data visualization libraries do you use with R, if any?","ggplot2:What data analysis and/or data visualization libraries do you use with R, if any?","data.table:What data analysis and/or data visualization libraries do you use with R, if any?","plotly:What data analysis and/or data visualization libraries do you use with R, if any?","dplyr:What data analysis and/or data visualization libraries do you use with R, if any?","SparkR:What data analysis and/or data visualization libraries do you use with R, if any?","Other ... Write In::What data analysis and/or data visualization libraries do you use with R, if any?",Jupyter/IPython notebook:What software development tool(s) do you use for data analysis?,JupyterLab:What software development tool(s) do you use for data analysis?,Zeppelin:What software development tool(s) do you use for data analysis?,Spyder IDE:What software development tool(s) do you use for data analysis?,Rodeo:What software development tool(s) do you use for data analysis?,RStudio:What software development tool(s) do you use for data analysis?,Visual Studio:What software development tool(s) do you use for data analysis?,Visual Studio Code:What software development tool(s) do you use for data analysis?,PyCharm:What software development tool(s) do you use for data analysis?,IntelliJ IDEA:What software development tool(s) do you use for data analysis?,Eclipse:What software development tool(s) do you use for data analysis?,Atom:What software development tool(s) do you use for data analysis?,Sublime:What software development tool(s) do you use for data analysis?,Vim:What software development tool(s) do you use for data analysis?,Colaboratory:What software development tool(s) do you use for data analysis?,Google Cloud Datalab:What software development tool(s) do you use for data analysis?,Other - Write In::What software development tool(s) do you use for data analysis?,None:Are you planning on adopting any other language(s) in the next 12 months?,R:Are you planning on adopting any other language(s) in the next 12 months?,Python:Are you planning on adopting any other language(s) in the next 12 months?,Java:Are you planning on adopting any other language(s) in the next 12 months?,Matlab/Octave:Are you planning on adopting any other language(s) in the next 12 months?,Go:Are you planning on adopting any other language(s) in the next 12 months?,C++:Are you planning on adopting any other language(s) in the next 12 months?,"None:Which statistics package(s) do you use to analyze and visualize..data, if any?","Statistica:Which statistics package(s) do you use to analyze and visualize..data, if any?","SPSS:Which statistics package(s) do you use to analyze and visualize..data, if any?","Spreadsheet editor (Microsoft Excel, OpenOffice Calc, Google Sheets, etc.):Which statistics package(s) do you use to analyze and visualize..data, if any?","Stata:Which statistics package(s) do you use to analyze and visualize..data, if any?","SAS:Which statistics package(s) do you use to analyze and visualize..data, if any?","Tableau:Which statistics package(s) do you use to analyze and visualize..data, if any?","Other ... Write In::Which statistics package(s) do you use to analyze and visualize..data, if any?",None:What type(s) of data processing do you perform?,Streaming/Real-Time:What type(s) of data processing do you perform?,Batch:What type(s) of data processing do you perform?,Other ... Write In::What type(s) of data processing do you perform?,What is the industry you primarily analyze data for?,Big Data / Data analysis:Which field(s) of IT do you primarily analyze data for?,Bioinformatics:Which field(s) of IT do you primarily analyze data for?,BPO services:Which field(s) of IT do you primarily analyze data for?,Cloud computing / platform:Which field(s) of IT do you primarily analyze data for?,Cybersecurity:Which field(s) of IT do you primarily analyze data for?,Data centers services:Which field(s) of IT do you primarily analyze data for?,E-learning:Which field(s) of IT do you primarily analyze data for?,FinTech:Which field(s) of IT do you primarily analyze data for?,Game development (including mobile games):Which field(s) of IT do you primarily analyze data for?,Hardware:Which field(s) of IT do you primarily analyze data for?,Healthcare IT:Which field(s) of IT do you primarily analyze data for?,Internet / Search engines:Which field(s) of IT do you primarily analyze data for?,IoT / embedded:Which field(s) of IT do you primarily analyze data for?,IT services:Which field(s) of IT do you primarily analyze data for?,Mobile development:Which field(s) of IT do you primarily analyze data for?,Semiconductors:Which field(s) of IT do you primarily analyze data for?,Software development tools:Which field(s) of IT do you primarily analyze data for?,Telecom:Which field(s) of IT do you primarily analyze data for?,Other - Write In::Which field(s) of IT do you primarily analyze data for?,Accounting / Finance / Insurance:Which industry or industries do you primarily analyze data for?,Administration / Management / Business Development:Which industry or industries do you primarily analyze data for?,Banking / Real Estate / Mortgage Financing:Which industry or industries do you primarily analyze data for?,Bioinformatics:Which industry or industries do you primarily analyze data for?,Business / Strategic Management:Which industry or industries do you primarily analyze data for?,Construction / Architecture:Which industry or industries do you primarily analyze data for?,Customer Support:Which industry or industries do you primarily analyze data for?,Design:Which industry or industries do you primarily analyze data for?,Education / Training:Which industry or industries do you primarily analyze data for?,Entertainment / Mass media and information / Publishing:Which industry or industries do you primarily analyze data for?,Human Resources:Which industry or industries do you primarily analyze data for?,Law:Which industry or industries do you primarily analyze data for?,Logistics/ Transportation:Which industry or industries do you primarily analyze data for?,Machinery:Which industry or industries do you primarily analyze data for?,Manufacturing:Which industry or industries do you primarily analyze data for?,Marketing:Which industry or industries do you primarily analyze data for?,Medicine / Health:Which industry or industries do you primarily analyze data for?,Non-profit:Which industry or industries do you primarily analyze data for?,Restaurants / Hospitality / Tourism:Which industry or industries do you primarily analyze data for?,Sales / Distribution / Retail:Which industry or industries do you primarily analyze data for?,Science:Which industry or industries do you primarily analyze data for?,Security:Which industry or industries do you primarily analyze data for?,Service / Maintenance:Which industry or industries do you primarily analyze data for?,Other - Write In::Which industry or industries do you primarily analyze data for?,Linux:What operating system(s) do you use as your work environment for data analysis?,Mac OS:What operating system(s) do you use as your work environment for data analysis?,Windows:What operating system(s) do you use as your work environment for data analysis?,Other ... Write In::What operating system(s) do you use as your work environment for data analysis?,Local machine:What do you use to perform computations?,Cluster with 4 to 10 nodes:What do you use to perform computations?,Cluster with 11 to 50 nodes:What do you use to perform computations?,Cluster with more than 51 nodes:What do you use to perform computations?,Cloud service:What do you use to perform computations?,Other ... Write In::What do you use to perform computations?,Amazon Web Services (AWS):What cloud service(s) do you use for data analysis?,Microsoft Azure:What cloud service(s) do you use for data analysis?,Google Cloud Platform:What cloud service(s) do you use for data analysis?,Other ... Write In::What cloud service(s) do you use for data analysis?,Could you tell us your age range?,What country do you live in?,What is your main employment status?,What is the highest level of education you have completed?,How long have you been working in data analysis?,How long have you been involved in data analysis?,Which of the following best describes the level of your current position?,How many people work for your company / organization?,How many people in..total are involved in data analysis at your company?,Developer:Which of the following best describes your job role(s) regardless of your position level?,Architect:Which of the following best describes your job role(s) regardless of your position level?,Data Scientist:Which of the following best describes your job role(s) regardless of your position level?,Data Analyst:Which of the following best describes your job role(s) regardless of your position level?,Data Architect:Which of the following best describes your job role(s) regardless of your position level?,Data Engineer:Which of the following best describes your job role(s) regardless of your position level?,Statistician:Which of the following best describes your job role(s) regardless of your position level?,Business Analyst:Which of the following best describes your job role(s) regardless of your position level?,Data and Analytics Manager:Which of the following best describes your job role(s) regardless of your position level?,Researcher:Which of the following best describes your job role(s) regardless of your position level?,Consultant:Which of the following best describes your job role(s) regardless of your position level?,General/Product Manager:Which of the following best describes your job role(s) regardless of your position level?,Other ... Write In:Which of the following best describes your job role(s) regardless of your position level?,What is your manager's level of expertise in data analysis?,"""My manager gives me realistic assignments that are relevant to my skills and responsibilities, with a clear and specific description of the requirements."":To what extend do you associate the following phrase with your manager?..",Other:Are you planning on adopting any other language(s) in the next 12 months?
A secondary/additional activity that you perform as part of your job,Data processing,Basic statistics,NA,NA,NA,Data visualization,NA,NA,NA,NA,NA,NA,NA,NA,No,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TensorFlow,NA,NA,NA,NA,NA,R,Python,NA,Scala,NA,NA,NA,NA,NA,Apache Spark,NA,NA,Apache Hadoop/MapReduce,Apache Hive,NA,NA,NA,NA,NA,Python,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C++,NA,Python,NA,NA,NA,NA,NA,Plotly,NA,Matplotlib,NA,NumPy,SciPy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,gbm,NA,NA,NA,ggplot2,NA,NA,dplyr,NA,NA,NA,NA,NA,NA,NA,RStudio,Visual Studio,NA,PyCharm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Spreadsheet editor (Microsoft Excel, OpenOffice Calc, Google Sheets, etc.)",NA,SAS,Tableau,NA,NA,NA,Batch,NA,IT,Big Data / Data analysis,NA,NA,Cloud computing / platform,NA,NA,NA,NA,NA,NA,Healthcare IT,NA,NA,IT services,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Windows,NA,Local machine,NA,NA,NA,Cloud service,NA,NA,Microsoft Azure,NA,NA,21-29,United States,Fully employed by a company / organization,"Bachelor���s degree (BA, BSc, B.Eng.,",1 to 3 years,NA,Trainee,"More than 5,000",Not sure,Developer,NA,NA,Data Analyst,NA,NA,NA,NA,NA,NA,NA,NA,NA,Has basic qualifications in data analysis,2,NA
A hobby,NA,NA,NA,NA,NA,NA,NA,Data processing,NA,NA,NA,NA,Data visualization,NA,No,NA,NA,NA,NA,NA,Microsoft Azure ML,NA,NA,NA,NA,NA,TensorFlow,NA,NA,NA,NA,NA,NA,Python,NA,Scala,NA,NA,NA,NA,NA,Apache Spark,NA,NA,NA,NA,NA,NA,NA,NA,NA,Python,NA,NA,NA,NA,NA,NA,NA,NA,NA,Go,NA,NA,NA,Python,NA,NA,NA,NA,NA,NA,NA,Matplotlib,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,IntelliJ IDEA,NA,Atom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Spreadsheet editor (Microsoft Excel, OpenOffice Calc, Google Sheets, etc.)",NA,NA,NA,NA,NA,NA,Batch,NA,A non-IT industry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Construction / Architecture,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Linux,Mac OS,Windows,NA,NA,NA,NA,NA,Cloud service,NA,NA,NA,Google Cloud Platform,NA,21-29,Japan,Fully employed by a company / organization,"Bachelor���s degree (BA, BSc, B.Eng.,",NA,1 to 3 years,Trainee,"More than 5,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A hobby,NA,NA,NA,NA,NA,NA,NA,Data processing,NA,NA,NA,Model deployment in production mode,Data visualization,NA,No,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TensorFlow,NA,NA,Keras,NA,NA,NA,Python,NA,NA,NA,NA,NA,NA,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Python,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Python,NA,NA,NA,NLTK,NA,NA,NA,Matplotlib,pandas,NumPy,SciPy,NA,seaborn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Visual Studio Code,PyCharm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,None,NA,NA,NA,NA,NA,NA,NA,NA,Streaming/Real-Time,NA,NA,A non-IT industry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Non-profit,NA,NA,NA,NA,NA,NA,Linux,NA,NA,NA,Local machine,NA,NA,NA,NA,NA,NA,NA,NA,NA,18-20,United Kingdom,Student,Other ��� Wri,NA,Less than 1 year,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A hobby,NA,NA,NA,NA,NA,NA,NA,Data processing,Basic statistics,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,Microsoft Azure ML,NA,NA,NA,NA,NA,TensorFlow,NA,NA,NA,NA,NA,NA,Python,Java,NA,NA,NA,NA,NA,NA,NA,NA,NA,Apache Hadoop/MapReduce,Apache Hive,Apache Pig,NA,NA,NA,NA,Java,NA,NA,NA,NA,NA,NA,NA,Matlab/Octave,NA,NA,NA,NA,NA,Java,NA,NA,NA,NLTK,scikit-learn,NA,NA,NA,NA,NumPy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eclipse,NA,NA,Vim,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Statistica,NA,"Spreadsheet editor (Microsoft Excel, OpenOffice Calc, Google Sheets, etc.)",NA,NA,NA,NA,NA,NA,Batch,NA,A non-IT industry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Accounting / Finance / Insurance,NA,NA,NA,NA,NA,NA,NA,NA,Entertainment / Mass media and information / Publishing,NA,NA,NA,NA,NA,Marketing,NA,NA,NA,Sales / Distribution / Retail,NA,NA,NA,NA,Linux,Mac OS,NA,NA,Local machine,NA,NA,NA,Cloud service,NA,Amazon Web Services (AWS),Microsoft Azure,Google Cloud Platform,NA,21-29,Japan,Fully employed by a company / organization,"Bachelor���s degree (BA, BSc, B.Eng.,",NA,Less than 1 year,Trainee,Nov-50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A secondary/additional activity that you perform as part of your job,Data processing,Basic statistics,NA,NA,NA,Data visualization,NA,NA,NA,NA,NA,NA,NA,NA,No,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,None,NA,NA,NA,NA,NA,None,NA,NA,NA,NA,NA,NA,NA,NA,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,None,NA,NA,NA,NA,NA,NA,NA,NA,Streaming/Real-Time,Batch,NA,IT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,IT services,NA,NA,Software development tools,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Linux,NA,Windows,NA,Local machine,NA,NA,NA,NA,NA,NA,NA,NA,NA,21-29,France,Fully employed by a company / organization,"Bachelor���s degree (BA, BSc, B.Eng.,",Less than 1 year,NA,Trainee,10-Feb,Just me,Developer,Architect,NA,NA,NA,NA,NA,NA,NA,NA,NA,General/Product Manager,NA,Has no qualifications in data analysis,2,Other
A hobby,NA,NA,NA,NA,NA,NA,NA,Data processing,Basic statistics,NA,NA,NA,Data visualization,NA,Yes,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,None,NA,NA,NA,NA,NA,NA,NA,Python,NA,NA,NA,NA,NA,NA,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Python,NA,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Python,NA,NA,NA,NLTK,NA,NA,NA,Matplotlib,NA,NumPy,SciPy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Jupyter/IPython notebook,NA,NA,NA,NA,NA,NA,Visual Studio Code,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Spreadsheet editor (Microsoft Excel, OpenOffice Calc, Google Sheets, etc.)",NA,NA,NA,NA,NA,NA,Batch,NA,IT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mobile development,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mac OS,NA,NA,Local machine,NA,NA,NA,NA,NA,NA,NA,NA,NA,30-39,China,Fully employed by a company / organization,"Bachelor���s degree (BA, BSc, B.Eng.,",NA,Less than 1 year,Trainee,51-500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Your primary professional activity,Data processing,Basic statistics,Model design (research),Model design (routine computations),Model deployment in production mode,Data visualization,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,Other ��� Wri,None,NA,NA,NA,NA,NA,NA,R,Python,NA,NA,NA,NA,NA,NA,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Python,NA,NA,NA,NA,Scala,NA,Julia,NA,NA,NA,NA,NA,NA,Python,NA,NA,StatsModels,NA,scikit-learn,NA,NA,Matplotlib,pandas,NumPy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,randomForest,NA,NA,NA,NA,NA,NA,NA,NA,ggplot2,NA,NA,dplyr,NA,Other ��� Wri,Jupyter/IPython notebook,NA,NA,NA,NA,RStudio,NA,NA,PyCharm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,None,NA,NA,NA,NA,NA,NA,NA,NA,Streaming/Real-Time,Batch,NA,A non-IT industry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Entertainment / Mass media and information / Publishing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Science,NA,NA,NA,Linux,NA,NA,NA,Local machine,NA,Cluster with 11 to 50 nodes,NA,Cloud service,NA,Amazon Web Services (AWS),NA,NA,NA,30-39,Switzerland,Looking for a job,"Doctoral degree (Ph.D, Ed.D., etc.)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A hobby,NA,NA,NA,NA,NA,NA,NA,Data processing,Basic statistics,Model design (research),Model design (routine computations),Model deployment in production mode,Data visualization,NA,No,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TensorFlow,NA,Torch,Keras,NA,NA,R,Python,NA,NA,NA,NA,NA,NA,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Python,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Python,NA,NA,NA,NA,NA,NA,NA,Matplotlib,pandas,NumPy,NA,gensim,NA,NA,NA,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RStudio,NA,Visual Studio Code,PyCharm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,Batch,NA,IT,NA,NA,NA,NA,Cybersecurity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mac OS,Windows,NA,Local machine,NA,NA,NA,NA,NA,NA,NA,NA,NA,21-29,Japan,Fully employed by a company / organization,Other ��� Wri,NA,Less than 1 year,Trainee,10-Feb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A hobby,NA,NA,NA,NA,NA,NA,NA,NA,Basic statistics,NA,NA,NA,NA,NA,Yes,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TensorFlow,NA,NA,NA,NA,NA,NA,Python,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Apache Hadoop/MapReduce,NA,NA,NA,NA,NA,NA,Python,NA,NA,NA,NA,NA,NA,NA,NA,NA,Go,NA,NA,NA,Go,NA,NA,NA,NA,NA,NA,NA,NA,NA,NumPy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Jupyter/IPython notebook,NA,NA,NA,NA,NA,NA,NA,PyCharm,IntelliJ IDEA,NA,Atom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,Batch,NA,IT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,IT services,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mac OS,NA,NA,NA,NA,NA,NA,Cloud service,NA,NA,NA,Google Cloud Platform,NA,30-39,Japan,Fully employed by a company / organization,"Bachelor���s degree (BA, BSc, B.Eng.,",NA,Less than 1 year,Trainee,Not sure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A secondary/additional activity that you perform as part of your job,Data processing,Basic statistics,NA,Model design (routine computations),NA,Data visualization,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,Other ��� Wri,NA,NA,NA,NA,NA,Other ��� Wri,NA,NA,Python,NA,NA,NA,NA,NA,NA,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Python,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Python,NA,NA,NA,NLTK,scikit-learn,NA,NA,Matplotlib,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PyCharm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Spreadsheet editor (Microsoft Excel, OpenOffice Calc, Google Sheets, etc.)",NA,NA,NA,NA,NA,Streaming/Real-Time,NA,NA,IT,NA,NA,NA,NA,Cybersecurity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Other - Write In:,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Linux,NA,NA,NA,Local machine,NA,NA,NA,NA,NA,NA,NA,NA,NA,30-39,Germany,Fully employed by a company / organization,"Bachelor���s degree (BA, BSc, B.Eng.,",3 to 6 years,NA,Middle,Nov-50,10-Feb,Developer,NA,NA,NA,NA,Data Engineer,NA,NA,NA,NA,NA,NA,Other ��� Wr,Has average qualifications in data analysis,4,NA
